timestamp [dd/mm/yyyy HH:MM],ki [0:vacant 1:occupied],o1_1 [0:vacant 1:occupied],o1_2 [0:vacant 1:occupied],o1_3 [0:vacant 1:occupied],o1_4 [0:vacant 1:occupied],o1_5 [0:vacant 1:occupied],o2 [0:vacant 1:occupied],o3 [0:vacant 1:occupied],o4 [0:vacant 1:occupied]
01/01/2013 00:00,0,0,0,0,0,0,0,0,0
01/01/2013 00:15,0,0,0,0,0,0,0,0,0
01/01/2013 00:30,0,0,0,0,0,0,0,0,0
01/01/2013 00:45,0,0,0,0,0,0,0,0,0
01/01/2013 01:00,0,0,0,0,0,0,0,0,0
01/01/2013 01:15,0,0,0,0,0,0,0,0,0
01/01/2013 01:30,0,0,0,0,0,0,0,0,0
01/01/2013 01:45,0,0,0,0,0,0,0,0,0
01/01/2013 02:00,0,0,0,0,0,0,0,0,0
01/01/2013 02:15,0,0,0,0,0,0,0,0,0
01/01/2013 02:30,0,0,0,0,0,0,0,0,0
01/01/2013 02:45,0,0,0,0,0,0,0,0,0
01/01/2013 03:00,0,0,0,0,0,0,0,0,0
01/01/2013 03:15,0,0,0,0,0,0,0,0,0
01/01/2013 03:30,0,0,0,0,0,0,0,0,0
01/01/2013 03:45,0,0,0,0,0,0,0,0,0
01/01/2013 04:00,0,0,0,0,0,0,0,0,0
01/01/2013 04:15,0,0,0,0,0,0,0,0,0
01/01/2013 04:30,0,0,0,0,0,0,0,0,0
01/01/2013 04:45,0,0,0,0,0,0,0,0,0
01/01/2013 05:00,0,0,0,0,0,0,0,0,0
01/01/2013 05:15,0,0,0,0,0,0,0,0,0
01/01/2013 05:30,0,0,0,0,0,0,0,0,0
01/01/2013 05:45,0,0,0,0,0,0,0,0,0
01/01/2013 06:00,0,0,0,0,0,0,0,0,0
01/01/2013 06:15,0,0,0,0,0,0,0,0,0
01/01/2013 06:30,0,0,0,0,0,0,0,0,0
01/01/2013 06:45,0,0,0,0,0,0,0,0,0
