timestamp [dd/mm/yyyy HH:MM],ki [C],o1_1 [C],o1_2 [C],o2 [C],o3 [C],o4 [C],mr [C]
01/01/2013 00:00,23.69,23.67,23.86,23.1,20.37,22.96,23.12
01/01/2013 00:15,23.69,23.66,23.87,23.1,20.36,22.95,23.11
01/01/2013 00:30,23.69,23.66,23.87,23.09,20.36,22.95,23.1
01/01/2013 00:45,23.69,23.65,23.88,23.08,20.35,22.94,23.09
01/01/2013 01:00,23.69,23.65,23.88,23.08,20.35,22.93,23.09
01/01/2013 01:15,23.69,23.64,23.89,23.07,20.34,22.93,23.08
01/01/2013 01:30,23.69,23.63,23.89,23.07,20.34,22.92,23.07
01/01/2013 01:45,23.69,23.63,23.9,23.06,20.34,22.91,23.07
01/01/2013 02:00,23.69,23.62,23.9,23.08,20.33,22.91,23.06
01/01/2013 02:15,23.73,23.62,23.91,23.1,20.33,22.9,23.09
01/01/2013 02:30,23.84,23.61,23.92,23.13,20.32,22.91,23.12
01/01/2013 02:45,23.84,23.6,23.92,23.15,20.32,22.91,23.15
01/01/2013 03:00,23.84,23.6,23.93,23.17,20.31,22.92,23.18
01/01/2013 03:15,23.75,23.59,23.93,23.19,20.31,22.93,23.22
01/01/2013 03:30,23.69,23.59,23.94,23.22,20.31,22.93,23.14
01/01/2013 03:45,23.69,23.58,23.94,23.17,20.3,22.94,23.06
01/01/2013 04:00,23.69,23.58,23.95,23.07,20.3,22.94,23.15
01/01/2013 04:15,23.69,23.57,23.96,23.08,20.29,22.95,23.17
01/01/2013 04:30,23.69,23.56,23.96,23.08,20.29,22.96,23.11
01/01/2013 04:45,23.69,23.56,23.97,23.09,20.28,22.96,23.16
01/01/2013 05:00,23.69,23.55,23.97,23.1,20.28,22.97,23.22
01/01/2013 05:15,23.69,23.55,23.98,23.11,20.27,22.97,23.16
01/01/2013 05:30,23.69,23.54,23.98,23.12,20.27,22.98,23.07
01/01/2013 05:45,23.69,23.54,23.99,23.12,20.27,22.99,23.08
01/01/2013 06:00,23.69,23.53,23.99,23.13,20.26,22.99,23.1
01/01/2013 06:15,23.69,23.55,24,23.14,20.26,23,23.11
01/01/2013 06:30,23.69,23.56,23.9,23.15,20.25,23,23.12
01/01/2013 06:45,23.69,23.58,23.82,23.16,20.25,23.01,23.14
01/01/2013 07:00,23.69,23.59,23.8,23.17,20.24,23.02,23.15
01/01/2013 07:15,23.69,23.61,23.78,23.17,20.24,23.02,23.16
01/01/2013 07:30,23.69,23.62,23.75,23.18,20.24,23.03,23.18
01/01/2013 07:45,23.69,23.64,23.73,23.19,20.25,23.03,23.19
01/01/2013 08:00,23.84,23.65,23.71,23.2,20.39,23.04,23.2
01/01/2013 08:15,23.72,23.67,23.69,23.21,20.39,23.05,23.22
01/01/2013 08:30,23.69,23.69,23.72,23.22,20.39,23.05,23.23
01/01/2013 08:45,23.69,23.68,23.8,23.2,20.38,23.06,23.25
01/01/2013 09:00,23.69,23.67,23.76,23.18,20.38,23.05,23.26
01/01/2013 09:15,23.69,23.67,23.73,23.16,20.38,23.05,23.28
01/01/2013 09:30,23.69,23.66,23.69,23.15,20.38,23.04,23.29
01/01/2013 09:45,23.78,23.65,23.75,23.13,20.37,23.04,23.31
01/01/2013 10:00,23.79,23.65,23.87,23.11,20.37,23.03,23.33
01/01/2013 10:15,23.69,23.64,23.92,23.09,20.37,23.03,23.34
01/01/2013 10:30,23.69,23.63,23.84,23.08,20.37,23.02,23.36
01/01/2013 10:45,23.82,23.62,23.82,23.06,20.36,23.02,23.37
01/01/2013 11:00,23.74,23.62,23.8,23.14,20.36,23.01,23.36
01/01/2013 11:15,23.69,23.61,23.78,23.22,20.36,23.01,23.35
01/01/2013 11:30,23.69,23.6,23.76,23.21,20.36,23,23.34
01/01/2013 11:45,23.69,23.6,23.75,23.2,20.35,23,23.33
01/01/2013 12:00,23.69,23.59,23.73,23.19,20.35,22.99,23.32
01/01/2013 12:15,23.69,23.58,23.71,23.18,20.35,22.99,23.31
01/01/2013 12:30,23.69,23.58,23.69,23.18,20.35,22.98,23.3
01/01/2013 12:45,23.69,23.57,23.74,23.17,20.35,22.98,23.29
01/01/2013 13:00,23.69,23.56,23.9,23.16,20.34,22.97,23.28
01/01/2013 13:15,23.69,23.56,23.95,23.15,20.34,22.96,23.27
01/01/2013 13:30,23.8,23.55,24,23.15,20.34,22.96,23.26
01/01/2013 13:45,23.77,23.54,23.89,23.14,20.34,22.95,23.25
01/01/2013 14:00,23.72,23.54,23.92,23.13,20.33,22.95,23.25
01/01/2013 14:15,23.84,23.53,24,23.12,20.33,22.94,23.24
01/01/2013 14:30,23.84,23.56,23.95,23.11,20.33,22.94,23.23
01/01/2013 14:45,23.72,23.63,23.9,23.11,20.33,22.93,23.22
01/01/2013 15:00,23.69,23.58,23.84,23.1,20.32,22.93,23.23
01/01/2013 15:15,23.73,23.53,23.87,23.09,20.32,22.92,23.24
01/01/2013 15:30,23.83,23.53,23.9,23.08,20.32,22.92,23.25
01/01/2013 15:45,23.69,23.53,23.92,23.07,20.32,22.91,23.26
01/01/2013 16:00,23.69,23.54,23.95,23.07,20.31,22.91,23.27
01/01/2013 16:15,23.69,23.54,23.97,23.06,20.31,22.9,23.28
01/01/2013 16:30,23.69,23.54,24,23.1,20.31,22.95,23.29
01/01/2013 16:45,23.69,23.54,23.9,23.18,20.31,23.01,23.3
01/01/2013 17:00,23.69,23.54,23.77,23.15,20.31,23.06,23.31
01/01/2013 17:15,23.69,23.55,23.76,23.12,20.3,23.03,23.32
01/01/2013 17:30,23.78,23.55,23.84,23.09,20.3,23,23.33
01/01/2013 17:45,23.78,23.55,23.79,23.06,20.3,22.96,23.34
01/01/2013 18:00,23.69,23.55,23.74,23.08,20.3,22.93,23.35
01/01/2013 18:15,23.69,23.55,23.69,23.11,20.29,22.9,23.36
01/01/2013 18:30,23.83,23.56,23.75,23.14,20.29,23.02,23.37
01/01/2013 18:45,23.63,23.56,23.81,23.16,20.29,23.03,23.29
01/01/2013 19:00,23.6,23.56,23.69,23.19,20.29,23,23.22
01/01/2013 19:15,23.69,23.56,23.8,23.22,20.28,22.96,23.22
01/01/2013 19:30,23.69,23.57,23.76,23.14,20.28,22.93,23.23
01/01/2013 19:45,23.84,23.57,23.73,23.06,20.28,22.9,23.24
01/01/2013 20:00,23.73,23.57,23.69,23.15,20.28,22.98,23.24
01/01/2013 20:15,23.69,23.57,23.72,23.14,20.28,23.02,23.25
01/01/2013 20:30,23.69,23.57,23.76,23.06,20.27,22.9,23.25
01/01/2013 20:45,23.69,23.58,23.69,23.11,20.27,22.98,23.26
01/01/2013 21:00,23.69,23.58,23.81,23.16,20.27,22.9,23.27
01/01/2013 21:15,23.69,23.58,23.85,23.22,20.27,22.82,23.27
01/01/2013 21:30,23.69,23.58,23.85,23.18,20.26,22.82,23.28
01/01/2013 21:45,23.69,23.58,23.85,23.15,20.26,23.06,23.29
01/01/2013 22:00,23.69,23.59,23.85,23.12,20.26,22.94,23.29
01/01/2013 22:15,23.69,23.59,23.86,23.09,20.26,22.98,23.3
01/01/2013 22:30,23.69,23.59,23.86,23.06,20.25,23.02,23.31
01/01/2013 22:45,23.69,23.59,23.86,23.12,20.25,23.06,23.31
01/01/2013 23:00,23.69,23.6,23.86,23.22,20.25,23.01,23.32
01/01/2013 23:15,23.69,23.6,23.87,23.22,20.25,22.95,23.33
01/01/2013 23:30,23.69,23.6,23.87,23.23,20.24,22.9,23.33
01/01/2013 23:45,23.69,23.6,23.87,23.23,20.24,22.92,23.34
02/01/2013 00:00,23.69,23.6,23.87,23.23,20.24,22.93,23.35
02/01/2013 00:15,23.69,23.61,23.88,23.24,20.24,22.95,23.35
02/01/2013 00:30,23.69,23.61,23.88,23.24,20.24,22.96,23.36
02/01/2013 00:45,23.69,23.61,23.88,23.24,20.24,22.98,23.37
02/01/2013 01:00,23.69,23.61,23.88,23.25,20.37,23,23.37
02/01/2013 01:15,23.69,23.61,23.89,23.25,20.35,23.01,23.29
02/01/2013 01:30,23.69,23.62,23.89,23.25,20.33,23.03,23.22
02/01/2013 01:45,23.69,23.62,23.89,23.26,20.31,23.04,23.24
02/01/2013 02:00,23.69,23.62,23.89,23.26,20.29,23.06,23.25
02/01/2013 02:15,23.69,23.62,23.9,23.26,20.27,22.98,23.27
02/01/2013 02:30,23.69,23.62,23.9,23.27,20.25,22.95,23.29
02/01/2013 02:45,23.69,23.63,23.9,23.27,20.24,23.05,23.31
02/01/2013 03:00,23.69,23.63,23.9,23.27,20.26,22.95,23.33
02/01/2013 03:15,23.69,23.63,23.91,23.28,20.37,23.01,23.35
02/01/2013 03:30,23.69,23.63,23.91,23.28,20.35,23.06,23.37
02/01/2013 03:45,23.69,23.64,23.91,23.28,20.33,23.01,23.32
02/01/2013 04:00,23.69,23.64,23.91,23.29,20.31,22.93,23.27
02/01/2013 04:15,23.69,23.64,23.92,23.29,20.29,22.96,23.22
02/01/2013 04:30,23.69,23.64,23.92,23.29,20.27,23,23.29
02/01/2013 04:45,23.69,23.64,23.92,23.3,20.25,23.03,23.37
02/01/2013 05:00,23.69,23.65,23.92,23.3,20.24,23.06,23.29
02/01/2013 05:15,23.69,23.65,23.93,23.3,20.29,23.01,23.25
02/01/2013 05:30,23.69,23.65,23.93,23.31,20.4,22.95,23.38
02/01/2013 05:45,23.69,23.65,23.93,23.31,20.4,22.9,23.39
02/01/2013 06:00,23.69,23.65,23.93,23.31,20.41,22.98,23.4
02/01/2013 06:15,23.69,23.66,23.94,23.32,20.42,23.06,23.41
02/01/2013 06:30,23.69,23.66,23.94,23.32,20.42,23.05,23.42
02/01/2013 06:45,23.69,23.66,23.94,23.32,20.43,22.98,23.43
02/01/2013 07:00,23.69,23.66,23.94,23.33,20.44,23.06,23.44
02/01/2013 07:15,23.69,23.67,23.95,23.33,20.44,23.07,23.45
02/01/2013 07:30,23.69,23.67,23.95,23.33,20.45,23.08,23.46
02/01/2013 07:45,23.69,23.67,23.95,23.34,20.45,23.1,23.47
02/01/2013 08:00,23.69,23.67,23.95,23.34,20.46,23.11,23.48
02/01/2013 08:15,23.69,23.67,23.96,23.34,20.47,23.12,23.49
02/01/2013 08:30,23.69,23.68,23.96,23.35,20.47,23.14,23.5
02/01/2013 08:45,23.69,23.68,23.96,23.35,20.48,23.15,23.51
02/01/2013 09:00,23.69,23.68,23.96,23.35,20.49,23.16,23.52
02/01/2013 09:15,23.69,23.68,23.97,23.36,20.49,23.18,23.53
02/01/2013 09:30,23.69,23.68,23.97,23.36,20.5,23.19,23.55
02/01/2013 09:45,23.69,23.69,23.97,23.36,20.51,23.2,23.57
02/01/2013 10:00,23.69,23.71,23.97,23.37,20.51,23.22,23.59
02/01/2013 10:15,23.7,23.73,23.98,23.37,20.52,23.25,23.61
02/01/2013 10:30,23.84,23.75,23.98,23.37,20.52,23.28,23.63
02/01/2013 10:45,23.84,23.78,23.98,23.34,20.53,23.31,23.65
02/01/2013 11:00,23.84,23.8,23.98,23.31,20.54,23.34,23.67
02/01/2013 11:15,23.84,23.82,23.99,23.28,20.54,23.37,23.69
02/01/2013 11:30,23.84,23.84,23.99,23.25,20.55,23.32,23.77
02/01/2013 11:45,23.84,23.79,23.99,23.22,20.54,23.27,23.81
02/01/2013 12:00,23.84,23.74,23.99,23.25,20.54,23.22,23.74
02/01/2013 12:15,23.74,23.69,24,23.29,20.53,23.24,23.79
02/01/2013 12:30,23.75,23.73,24,23.33,20.53,23.25,23.84
02/01/2013 12:45,23.81,23.76,23.96,23.37,20.52,23.27,23.79
