timestamp [dd/mm/yyyy HH:MM],ki [%],o1_1 [%],o1_2 [%],o2 [%],o3 [%],o4 [%],mr [%]
01/01/2013 00:00,19.2,22.8,23.1,20.8,25.1,22.4,19.6
01/01/2013 00:15,19.2,22.8,23.1,20.8,25.1,22.4,19.6
01/01/2013 00:30,19.2,22.8,23.1,20.8,25.1,22.4,19.6
01/01/2013 00:45,19.2,22.8,23.1,20.8,25.1,22.4,19.8
01/01/2013 01:00,19.2,22.8,23.3,20.8,25.1,22.4,20.1
01/01/2013 01:15,19.2,22.8,23.5,20.8,25.1,22.7,20.4
01/01/2013 01:30,19.6,23.1,23.5,20.8,25.2,23.1,20.0
01/01/2013 01:45,19.6,22.8,23.2,20.0,25.5,22.8,19.7
01/01/2013 02:00,19.8,22.2,22.9,20.0,25.5,22.4,19.8
01/01/2013 02:15,19.8,22.1,23.0,20.0,25.5,22.4,20.0
01/01/2013 02:30,19.2,22.4,23.1,20.2,25.5,22.4,20.0
01/01/2013 02:45,19.2,22.4,23.2,20.8,25.4,22.4,19.7
01/01/2013 03:00,19.9,22.4,23.5,20.8,25.1,22.8,19.6
01/01/2013 03:15,20.0,22.4,23.2,20.5,25.5,22.4,19.7
01/01/2013 03:30,20.0,22.4,23.1,20.4,25.2,22.6,20.0
01/01/2013 03:45,20.0,22.4,22.9,20.4,25.3,22.6,20.0
01/01/2013 04:00,19.6,22.4,22.8,20.4,25.4,22.4,20.0
01/01/2013 04:15,20.0,22.8,22.8,20.0,25.1,22.4,19.9
01/01/2013 04:30,20.0,22.8,23.1,20.3,25.1,22.4,19.6
01/01/2013 04:45,20.0,22.8,23.5,20.2,25.1,22.6,20.0
01/01/2013 05:00,20.0,22.8,23.5,20.0,25.1,22.9,19.7
01/01/2013 05:15,20.0,22.8,23.2,20.0,25.2,23.1,19.8
01/01/2013 05:30,19.6,22.8,22.8,20.0,25.5,23.1,20.0
01/01/2013 05:45,19.9,22.0,22.7,20.0,24.8,23.1,19.6
01/01/2013 06:00,19.8,22.5,22.0,20.0,25.0,23.1,19.9
01/01/2013 06:15,19.6,22.8,22.3,20.1,25.1,23.1,19.8
01/01/2013 06:30,19.6,22.8,22.6,20.4,25.0,23.1,19.6
01/01/2013 06:45,19.2,22.8,22.8,20.4,24.7,23.1,19.6
01/01/2013 07:00,19.5,22.4,22.6,20.1,24.4,23.1,19.3
01/01/2013 07:15,19.4,22.4,22.0,20.2,24.8,23.1,19.2
01/01/2013 07:30,19.3,22.4,22.8,20.3,24.8,23.1,19.3
01/01/2013 07:45,19.6,22.2,22.8,20.0,24.4,23.1,19.6
01/01/2013 08:00,19.6,22.0,22.5,20.4,25.1,22.8,19.2
01/01/2013 08:15,19.3,22.4,22.7,20.4,25.1,22.8,19.5
01/01/2013 08:30,19.4,22.4,22.9,20.2,24.9,23.0,19.5
01/01/2013 08:45,19.4,22.4,22.0,20.0,24.8,23.1,19.2
01/01/2013 09:00,18.9,22.2,22.0,20.0,25.1,23.0,19.6
01/01/2013 09:15,20.0,22.0,22.9,20.0,25.1,22.4,19.6
01/01/2013 09:30,19.7,22.4,22.7,20.0,25.1,22.4,19.6
01/01/2013 09:45,19.8,22.7,22.5,20.3,25.1,22.6,19.5
01/01/2013 10:00,19.7,22.8,22.8,20.4,25.0,22.8,19.2
01/01/2013 10:15,19.2,22.4,22.8,20.3,24.7,22.8,19.2
01/01/2013 10:30,18.8,22.0,23.1,20.0,25.1,23.1,19.2
01/01/2013 10:45,19.5,22.4,22.8,20.7,24.8,23.1,19.2
01/01/2013 11:00,19.4,22.4,22.3,20.5,24.9,22.9,19.2
