timestamp [dd/mm/yyyy HH:MM],gh [W/m2]
01/01/2013 00:00,2
01/01/2013 01:00,2
01/01/2013 02:00,2
01/01/2013 03:00,2
01/01/2013 04:00,2
01/01/2013 05:00,2
01/01/2013 06:00,2
01/01/2013 07:00,2
01/01/2013 08:00,40
01/01/2013 09:00,60
01/01/2013 10:00,53
01/01/2013 11:00,56
01/01/2013 12:00,39
01/01/2013 13:00,31
01/01/2013 14:00,22
01/01/2013 15:00,5
01/01/2013 16:00,2
01/01/2013 17:00,2
01/01/2013 18:00,2
01/01/2013 19:00,2
01/01/2013 20:00,2
01/01/2013 21:00,2
01/01/2013 22:00,2
01/01/2013 23:00,2
02/01/2013 00:00,2
02/01/2013 01:00,1
02/01/2013 02:00,1
02/01/2013 03:00,2
02/01/2013 04:00,2
02/01/2013 05:00,2
02/01/2013 06:00,2
02/01/2013 07:00,1
02/01/2013 08:00,2
02/01/2013 09:00,14
02/01/2013 10:00,53
02/01/2013 11:00,90
02/01/2013 12:00,151
02/01/2013 13:00,121
02/01/2013 14:00,80
02/01/2013 15:00,74
02/01/2013 16:00,35
02/01/2013 17:00,4
02/01/2013 18:00,2
02/01/2013 19:00,2
02/01/2013 20:00,1
02/01/2013 21:00,1
02/01/2013 22:00,1
02/01/2013 23:00,1
03/01/2013 00:00,1
03/01/2013 01:00,1
03/01/2013 02:00,0
03/01/2013 03:00,0
03/01/2013 04:00,0
03/01/2013 05:00,0
03/01/2013 06:00,0
03/01/2013 07:00,0
03/01/2013 08:00,3
03/01/2013 09:00,31
03/01/2013 10:00,148
03/01/2013 11:00,110
03/01/2013 12:00,206
03/01/2013 13:00,93
03/01/2013 14:00,42
03/01/2013 15:00,79
03/01/2013 16:00,59
03/01/2013 17:00,4
03/01/2013 18:00,1
03/01/2013 19:00,1
03/01/2013 20:00,1
03/01/2013 21:00,1
03/01/2013 22:00,1
03/01/2013 23:00,1
04/01/2013 00:00,1
04/01/2013 01:00,1
04/01/2013 02:00,1
04/01/2013 03:00,1
04/01/2013 04:00,1
04/01/2013 05:00,1
04/01/2013 06:00,1
04/01/2013 07:00,1
04/01/2013 08:00,2
04/01/2013 09:00,23
04/01/2013 10:00,53
04/01/2013 11:00,75
04/01/2013 12:00,109
04/01/2013 13:00,272
04/01/2013 14:00,203
04/01/2013 15:00,102
04/01/2013 16:00,21
04/01/2013 17:00,2
04/01/2013 18:00,1
04/01/2013 19:00,1
04/01/2013 20:00,2
04/01/2013 21:00,2
04/01/2013 22:00,2
04/01/2013 23:00,3
05/01/2013 00:00,2
05/01/2013 01:00,2
05/01/2013 02:00,2
05/01/2013 03:00,1
05/01/2013 04:00,1
05/01/2013 05:00,0
05/01/2013 06:00,1
05/01/2013 07:00,0
05/01/2013 08:00,1
05/01/2013 09:00,11
05/01/2013 10:00,52
05/01/2013 11:00,102
05/01/2013 12:00,103
05/01/2013 13:00,98
05/01/2013 14:00,72
05/01/2013 15:00,41
05/01/2013 16:00,32
05/01/2013 17:00,3
05/01/2013 18:00,0
05/01/2013 19:00,0
05/01/2013 20:00,0
05/01/2013 21:00,0
05/01/2013 22:00,0
05/01/2013 23:00,0
06/01/2013 00:00,1
06/01/2013 01:00,1
06/01/2013 02:00,1
06/01/2013 03:00,1
06/01/2013 04:00,1
06/01/2013 05:00,1
06/01/2013 06:00,1
06/01/2013 07:00,1
06/01/2013 08:00,1
06/01/2013 09:00,8
06/01/2013 10:00,23
06/01/2013 11:00,29
06/01/2013 12:00,40
06/01/2013 13:00,55
06/01/2013 14:00,27
06/01/2013 15:00,20
06/01/2013 16:00,15
06/01/2013 17:00,3
06/01/2013 18:00,2
06/01/2013 19:00,1
06/01/2013 20:00,1
06/01/2013 21:00,1
06/01/2013 22:00,1
06/01/2013 23:00,1
07/01/2013 00:00,1
07/01/2013 01:00,2
07/01/2013 02:00,2
07/01/2013 03:00,2
07/01/2013 04:00,2
07/01/2013 05:00,2
07/01/2013 06:00,1
07/01/2013 07:00,1
07/01/2013 08:00,2
07/01/2013 09:00,8
07/01/2013 10:00,22
07/01/2013 11:00,35
07/01/2013 12:00,61
07/01/2013 13:00,76
07/01/2013 14:00,57
07/01/2013 15:00,51
07/01/2013 16:00,22
07/01/2013 17:00,2
07/01/2013 18:00,1
07/01/2013 19:00,1
07/01/2013 20:00,1
07/01/2013 21:00,1
07/01/2013 22:00,1
07/01/2013 23:00,1
08/01/2013 00:00,1
08/01/2013 01:00,1
08/01/2013 02:00,1
08/01/2013 03:00,1
08/01/2013 04:00,1
08/01/2013 05:00,1
08/01/2013 06:00,1
08/01/2013 07:00,2
08/01/2013 08:00,3
08/01/2013 09:00,14
08/01/2013 10:00,29
08/01/2013 11:00,39
08/01/2013 12:00,43
08/01/2013 13:00,61
08/01/2013 14:00,50
08/01/2013 15:00,37
08/01/2013 16:00,18
08/01/2013 17:00,4
08/01/2013 18:00,3
08/01/2013 19:00,3
08/01/2013 20:00,2
08/01/2013 21:00,2
08/01/2013 22:00,1
08/01/2013 23:00,1
09/01/2013 00:00,3
09/01/2013 01:00,1
09/01/2013 02:00,1
09/01/2013 03:00,1
09/01/2013 04:00,1
09/01/2013 05:00,1
09/01/2013 06:00,1
09/01/2013 07:00,0
