timestamp [dd/mm/yyyy HH:MM],tempOut [C]
01/01/2013 00:00,1.6
01/01/2013 01:00,1.2
01/01/2013 02:00,0.7
01/01/2013 03:00,0.4
01/01/2013 04:00,0.3
01/01/2013 05:00,0.1
01/01/2013 06:00,-0.1
01/01/2013 07:00,-0.3
01/01/2013 08:00,-0.2
01/01/2013 09:00,-0.2
01/01/2013 10:00,0
01/01/2013 11:00,0
01/01/2013 12:00,-0.4
01/01/2013 13:00,-0.2
01/01/2013 14:00,-0.2
01/01/2013 15:00,-0.2
01/01/2013 16:00,-0.1
01/01/2013 17:00,0.2
01/01/2013 18:00,0.3
01/01/2013 19:00,0.1
01/01/2013 20:00,-0.1
01/01/2013 21:00,-0.4
01/01/2013 22:00,-0.8
01/01/2013 23:00,-1.2
02/01/2013 00:00,-1.6
02/01/2013 01:00,-1.6
02/01/2013 02:00,-1.8
02/01/2013 03:00,-1.9
02/01/2013 04:00,-1.9
02/01/2013 05:00,-1.9
02/01/2013 06:00,-1.7
02/01/2013 07:00,-1.5
02/01/2013 08:00,-1.2
02/01/2013 09:00,-0.7
02/01/2013 10:00,0.4
02/01/2013 11:00,3
02/01/2013 12:00,4.8
02/01/2013 13:00,4.9
02/01/2013 14:00,5.2
02/01/2013 15:00,5.1
02/01/2013 16:00,4.8
02/01/2013 17:00,4.7
02/01/2013 18:00,4.6
02/01/2013 19:00,4.5
02/01/2013 20:00,4.4
02/01/2013 21:00,4.4
02/01/2013 22:00,4.3
02/01/2013 23:00,4.2
03/01/2013 00:00,4.1
03/01/2013 01:00,4
03/01/2013 02:00,3.9
03/01/2013 03:00,3.8
03/01/2013 04:00,3.6
03/01/2013 05:00,3.5
03/01/2013 06:00,2.9
03/01/2013 07:00,2.6
03/01/2013 08:00,2.3
03/01/2013 09:00,3
03/01/2013 10:00,4.8
03/01/2013 11:00,6.4
03/01/2013 12:00,6.8
03/01/2013 13:00,5.5
03/01/2013 14:00,5.4
03/01/2013 15:00,5.4
03/01/2013 16:00,5.7
03/01/2013 17:00,5.6
03/01/2013 18:00,5.3
03/01/2013 19:00,5.8
03/01/2013 20:00,5.9
03/01/2013 21:00,6.2
03/01/2013 22:00,6.2
03/01/2013 23:00,6.3
04/01/2013 00:00,6.6
04/01/2013 01:00,6.6
04/01/2013 02:00,7.1
04/01/2013 03:00,7.1
04/01/2013 04:00,7.3
04/01/2013 05:00,7.7
04/01/2013 06:00,7.7
04/01/2013 07:00,7.8
04/01/2013 08:00,7.9
04/01/2013 09:00,8.5
04/01/2013 10:00,8.6
04/01/2013 11:00,8.7
04/01/2013 12:00,9.3
04/01/2013 13:00,9.7
04/01/2013 14:00,9.7
04/01/2013 15:00,9.4
04/01/2013 16:00,9.4
04/01/2013 17:00,9.2
04/01/2013 18:00,9.1
04/01/2013 19:00,8.6
04/01/2013 20:00,9.1
04/01/2013 21:00,9.1
04/01/2013 22:00,9
04/01/2013 23:00,8.9
05/01/2013 00:00,8.9
05/01/2013 01:00,9.1
05/01/2013 02:00,9.2
05/01/2013 03:00,9.7
05/01/2013 04:00,10.3
05/01/2013 05:00,10.2
05/01/2013 06:00,10.1
05/01/2013 07:00,9.6
05/01/2013 08:00,8.8
05/01/2013 09:00,8.9
05/01/2013 10:00,8.9
05/01/2013 11:00,9.3
05/01/2013 12:00,9.1
05/01/2013 13:00,9.1
05/01/2013 14:00,8.8
05/01/2013 15:00,9
05/01/2013 16:00,8.7
05/01/2013 17:00,8.1
05/01/2013 18:00,7.6
05/01/2013 19:00,7.5
05/01/2013 20:00,7.3
05/01/2013 21:00,6.9
05/01/2013 22:00,6.4
05/01/2013 23:00,6.4
06/01/2013 00:00,6.6
06/01/2013 01:00,6.4
06/01/2013 02:00,6.4
06/01/2013 03:00,6.5
06/01/2013 04:00,6.4
06/01/2013 05:00,6.5
06/01/2013 06:00,6.6
06/01/2013 07:00,6.4
06/01/2013 08:00,6.1
06/01/2013 09:00,5.9
06/01/2013 10:00,5.5
06/01/2013 11:00,5.7
06/01/2013 12:00,6.6
06/01/2013 13:00,6.8
06/01/2013 14:00,6.7
06/01/2013 15:00,6.7
06/01/2013 16:00,6.5
06/01/2013 17:00,6.7
06/01/2013 18:00,7.1
06/01/2013 19:00,6.6
06/01/2013 20:00,6.2
06/01/2013 21:00,6.6
06/01/2013 22:00,6.5
06/01/2013 23:00,6.8
07/01/2013 00:00,7
07/01/2013 01:00,6.7
07/01/2013 02:00,6.1
07/01/2013 03:00,6.1
07/01/2013 04:00,2.7
07/01/2013 05:00,1.2
07/01/2013 06:00,0.9
07/01/2013 07:00,0.7
07/01/2013 08:00,0.6
07/01/2013 09:00,1
07/01/2013 10:00,1.2
07/01/2013 11:00,1.4
07/01/2013 12:00,1.6
07/01/2013 13:00,1.7
07/01/2013 14:00,1.8
07/01/2013 15:00,1.8
07/01/2013 16:00,1.7
07/01/2013 17:00,1.6
07/01/2013 18:00,1.3
07/01/2013 19:00,0.7
07/01/2013 20:00,0.1
07/01/2013 21:00,-0.3
07/01/2013 22:00,-0.3
07/01/2013 23:00,-0.3
08/01/2013 00:00,-0.6
08/01/2013 01:00,-0.5
08/01/2013 02:00,-0.6
08/01/2013 03:00,-0.5
08/01/2013 04:00,-0.5
08/01/2013 05:00,-0.8
08/01/2013 06:00,-0.6
08/01/2013 07:00,-0.6
08/01/2013 08:00,-0.5
08/01/2013 09:00,-0.6
08/01/2013 10:00,-0.6
08/01/2013 11:00,-0.7
08/01/2013 12:00,-0.9
08/01/2013 13:00,-1
08/01/2013 14:00,-0.8
08/01/2013 15:00,-0.7
08/01/2013 16:00,-0.9
08/01/2013 17:00,-0.9
08/01/2013 18:00,-0.5
08/01/2013 19:00,-0.4
08/01/2013 20:00,-0.2
08/01/2013 21:00,0
08/01/2013 22:00,0.7
08/01/2013 23:00,4.4
09/01/2013 00:00,4.7
09/01/2013 01:00,4.9
09/01/2013 02:00,5.1
09/01/2013 03:00,5
09/01/2013 04:00,5.1
09/01/2013 05:00,5.1
09/01/2013 06:00,5.1
09/01/2013 07:00,5.3
09/01/2013 08:00,5.3
09/01/2013 09:00,5.5
09/01/2013 10:00,5.8
09/01/2013 11:00,6.3
09/01/2013 12:00,6.8
09/01/2013 13:00,6.6
09/01/2013 14:00,6.9
09/01/2013 15:00,6.1
09/01/2013 16:00,4.8
09/01/2013 17:00,5.3
09/01/2013 18:00,5.1
09/01/2013 19:00,4.4
09/01/2013 20:00,2.7
09/01/2013 21:00,2.5
09/01/2013 22:00,2.5
09/01/2013 23:00,2.8
10/01/2013 00:00,3.1
10/01/2013 01:00,3.1
10/01/2013 02:00,3.1
10/01/2013 03:00,3.6
10/01/2013 04:00,4.4
10/01/2013 05:00,5
10/01/2013 06:00,5.1
10/01/2013 07:00,4.8
10/01/2013 08:00,4.8
10/01/2013 09:00,4.9
10/01/2013 10:00,5.4
10/01/2013 11:00,5.6
10/01/2013 12:00,5.5
10/01/2013 13:00,5.6
10/01/2013 14:00,5.3
10/01/2013 15:00,5.2
10/01/2013 16:00,5.5
10/01/2013 17:00,5.4
10/01/2013 18:00,5.4
10/01/2013 19:00,5.4
10/01/2013 20:00,5.5
10/01/2013 21:00,5.2
10/01/2013 22:00,4.9
10/01/2013 23:00,4.6
11/01/2013 00:00,4.9
11/01/2013 01:00,4.9
11/01/2013 02:00,4.5
11/01/2013 03:00,4.6
11/01/2013 04:00,4.3
11/01/2013 05:00,4.2
11/01/2013 06:00,4.3
11/01/2013 07:00,4
11/01/2013 08:00,3.2
11/01/2013 09:00,1.4
11/01/2013 10:00,0.6
11/01/2013 11:00,0.4
11/01/2013 12:00,0.5
11/01/2013 13:00,1.1
11/01/2013 14:00,1.3
11/01/2013 15:00,1.1
11/01/2013 16:00,0.4
11/01/2013 17:00,0
11/01/2013 18:00,-0.1
11/01/2013 19:00,-0.1
11/01/2013 20:00,-0.2
11/01/2013 21:00,-0.4
11/01/2013 22:00,-0.4
11/01/2013 23:00,-0.5
12/01/2013 00:00,-0.9
12/01/2013 01:00,-1
12/01/2013 02:00,-0.8
12/01/2013 03:00,-0.8
12/01/2013 04:00,-0.6
12/01/2013 05:00,-0.5
12/01/2013 06:00,-0.5
12/01/2013 07:00,-0.7
12/01/2013 08:00,-0.7
12/01/2013 09:00,-0.4
12/01/2013 10:00,0
12/01/2013 11:00,0.4
12/01/2013 12:00,0.6
12/01/2013 13:00,0
