timestamp [dd/mm/yyyy HH:MM],Wind direction [Degree] [North:0 East:90 South:180 West:270]
01/01/2013 00:00,37
01/01/2013 01:00,41
01/01/2013 02:00,99
01/01/2013 03:00,107
01/01/2013 04:00,107
01/01/2013 05:00,109
01/01/2013 06:00,107
01/01/2013 07:00,109
01/01/2013 08:00,118
01/01/2013 09:00,114
01/01/2013 10:00,122
01/01/2013 11:00,144
01/01/2013 12:00,135
01/01/2013 13:00,116
01/01/2013 14:00,150
01/01/2013 15:00,114
01/01/2013 16:00,157
01/01/2013 17:00,161
01/01/2013 18:00,169
01/01/2013 19:00,150
01/01/2013 20:00,131
01/01/2013 21:00,133
01/01/2013 22:00,139
01/01/2013 23:00,135
02/01/2013 00:00,135
02/01/2013 01:00,137
02/01/2013 02:00,143
02/01/2013 03:00,135
02/01/2013 04:00,152
02/01/2013 05:00,137
02/01/2013 06:00,152
02/01/2013 07:00,186
02/01/2013 08:00,191
02/01/2013 09:00,188
02/01/2013 10:00,219
02/01/2013 11:00,249
02/01/2013 12:00,268
02/01/2013 13:00,274
02/01/2013 14:00,268
02/01/2013 15:00,261
02/01/2013 16:00,266
02/01/2013 17:00,278
02/01/2013 18:00,300
02/01/2013 19:00,294
02/01/2013 20:00,296
02/01/2013 21:00,300
02/01/2013 22:00,272
02/01/2013 23:00,289
03/01/2013 00:00,281
03/01/2013 01:00,268
03/01/2013 02:00,264
03/01/2013 03:00,266
03/01/2013 04:00,274
03/01/2013 05:00,270
03/01/2013 06:00,248
03/01/2013 07:00,248
03/01/2013 08:00,240
03/01/2013 09:00,223
03/01/2013 10:00,240
03/01/2013 11:00,259
03/01/2013 12:00,264
03/01/2013 13:00,264
03/01/2013 14:00,266
03/01/2013 15:00,263
03/01/2013 16:00,268
03/01/2013 17:00,257
03/01/2013 18:00,259
03/01/2013 19:00,266
03/01/2013 20:00,281
03/01/2013 21:00,268
03/01/2013 22:00,276
03/01/2013 23:00,270
04/01/2013 00:00,276
04/01/2013 01:00,263
04/01/2013 02:00,263
04/01/2013 03:00,266
04/01/2013 04:00,266
04/01/2013 05:00,278
04/01/2013 06:00,281
04/01/2013 07:00,281
04/01/2013 08:00,294
04/01/2013 09:00,285
04/01/2013 10:00,300
04/01/2013 11:00,296
04/01/2013 12:00,298
04/01/2013 13:00,300
04/01/2013 14:00,292
04/01/2013 15:00,300
04/01/2013 16:00,270
04/01/2013 17:00,274
04/01/2013 18:00,270
04/01/2013 19:00,270
04/01/2013 20:00,270
04/01/2013 21:00,281
04/01/2013 22:00,281
04/01/2013 23:00,279
05/01/2013 00:00,296
05/01/2013 01:00,294
05/01/2013 02:00,296
05/01/2013 03:00,302
05/01/2013 04:00,315
05/01/2013 05:00,315
05/01/2013 06:00,315
05/01/2013 07:00,289
05/01/2013 08:00,193
05/01/2013 09:00,315
05/01/2013 10:00,315
05/01/2013 11:00,315
05/01/2013 12:00,323
05/01/2013 13:00,315
05/01/2013 14:00,296
05/01/2013 15:00,326
05/01/2013 16:00,298
05/01/2013 17:00,319
05/01/2013 18:00,317
05/01/2013 19:00,317
05/01/2013 20:00,315
05/01/2013 21:00,321
05/01/2013 22:00,317
05/01/2013 23:00,323
06/01/2013 00:00,292
06/01/2013 01:00,218
06/01/2013 02:00,292
06/01/2013 03:00,244
06/01/2013 04:00,321
06/01/2013 05:00,317
06/01/2013 06:00,315
06/01/2013 07:00,315
06/01/2013 08:00,309
06/01/2013 09:00,308
06/01/2013 10:00,313
06/01/2013 11:00,319
06/01/2013 12:00,306
06/01/2013 13:00,304
06/01/2013 14:00,296
06/01/2013 15:00,291
06/01/2013 16:00,294
06/01/2013 17:00,302
06/01/2013 18:00,315
06/01/2013 19:00,300
06/01/2013 20:00,294
06/01/2013 21:00,300
06/01/2013 22:00,313
06/01/2013 23:00,315
07/01/2013 00:00,317
07/01/2013 01:00,264
07/01/2013 02:00,251
07/01/2013 03:00,169
07/01/2013 04:00,69
07/01/2013 05:00,22
07/01/2013 06:00,32
07/01/2013 07:00,32
07/01/2013 08:00,193
07/01/2013 09:00,143
07/01/2013 10:00,34
07/01/2013 11:00,49
07/01/2013 12:00,51
07/01/2013 13:00,201
07/01/2013 14:00,244
07/01/2013 15:00,300
07/01/2013 16:00,315
07/01/2013 17:00,156
07/01/2013 18:00,39
07/01/2013 19:00,53
07/01/2013 20:00,81
07/01/2013 21:00,79
07/01/2013 22:00,71
07/01/2013 23:00,71
08/01/2013 00:00,73
08/01/2013 01:00,88
08/01/2013 02:00,124
08/01/2013 03:00,143
08/01/2013 04:00,154
08/01/2013 05:00,124
08/01/2013 06:00,135
08/01/2013 07:00,178
08/01/2013 08:00,167
08/01/2013 09:00,184
08/01/2013 10:00,186
08/01/2013 11:00,189
08/01/2013 12:00,141
08/01/2013 13:00,159
08/01/2013 14:00,180
08/01/2013 15:00,148
08/01/2013 16:00,143
08/01/2013 17:00,129
08/01/2013 18:00,150
08/01/2013 19:00,143
08/01/2013 20:00,161
08/01/2013 21:00,131
08/01/2013 22:00,165
08/01/2013 23:00,300
09/01/2013 00:00,300
09/01/2013 01:00,287
09/01/2013 02:00,274
09/01/2013 03:00,279
09/01/2013 04:00,289
09/01/2013 05:00,291
09/01/2013 06:00,293
09/01/2013 07:00,298
09/01/2013 08:00,308
09/01/2013 09:00,283
09/01/2013 10:00,259
09/01/2013 11:00,268
09/01/2013 12:00,268
09/01/2013 13:00,263
09/01/2013 14:00,261
09/01/2013 15:00,165
09/01/2013 16:00,113
09/01/2013 17:00,133
09/01/2013 18:00,135
09/01/2013 19:00,126
09/01/2013 20:00,120
09/01/2013 21:00,120
09/01/2013 22:00,122
09/01/2013 23:00,152
10/01/2013 00:00,174
10/01/2013 01:00,144
10/01/2013 02:00,163
10/01/2013 03:00,219
10/01/2013 04:00,221
10/01/2013 05:00,261
10/01/2013 06:00,264
10/01/2013 07:00,264
10/01/2013 08:00,257
10/01/2013 09:00,268
10/01/2013 10:00,268
10/01/2013 11:00,262
10/01/2013 12:00,266
10/01/2013 13:00,263
10/01/2013 14:00,263
10/01/2013 15:00,257
10/01/2013 16:00,268
10/01/2013 17:00,264
10/01/2013 18:00,263
10/01/2013 19:00,268
10/01/2013 20:00,266
10/01/2013 21:00,268
10/01/2013 22:00,257
10/01/2013 23:00,248
11/01/2013 00:00,255
11/01/2013 01:00,264
11/01/2013 02:00,278
11/01/2013 03:00,278
11/01/2013 04:00,268
11/01/2013 05:00,261
11/01/2013 06:00,263
11/01/2013 07:00,268
11/01/2013 08:00,261
11/01/2013 09:00,120
11/01/2013 10:00,270
11/01/2013 11:00,315
11/01/2013 12:00,313
11/01/2013 13:00,323
11/01/2013 14:00,268
11/01/2013 15:00,317
11/01/2013 16:00,247
11/01/2013 17:00,294
11/01/2013 18:00,319
11/01/2013 19:00,315
11/01/2013 20:00,315
11/01/2013 21:00,313
11/01/2013 22:00,313
11/01/2013 23:00,311
12/01/2013 00:00,311
12/01/2013 01:00,296
12/01/2013 02:00,291
12/01/2013 03:00,293
12/01/2013 04:00,311
12/01/2013 05:00,264
12/01/2013 06:00,279
12/01/2013 07:00,251
12/01/2013 08:00,236
12/01/2013 09:00,217
12/01/2013 10:00,218
12/01/2013 11:00,309
12/01/2013 12:00,184
12/01/2013 13:00,203
12/01/2013 14:00,214
12/01/2013 15:00,296
12/01/2013 16:00,304
12/01/2013 17:00,291
12/01/2013 18:00,302
12/01/2013 19:00,289
12/01/2013 20:00,270
12/01/2013 21:00,266
12/01/2013 22:00,246
12/01/2013 23:00,238
13/01/2013 00:00,208
13/01/2013 01:00,111
13/01/2013 02:00,81
13/01/2013 03:00,68
13/01/2013 04:00,81
13/01/2013 05:00,84
13/01/2013 06:00,88
13/01/2013 07:00,90
13/01/2013 08:00,122
13/01/2013 09:00,98
13/01/2013 10:00,98
13/01/2013 11:00,122
13/01/2013 12:00,77
13/01/2013 13:00,88
13/01/2013 14:00,84
13/01/2013 15:00,113
13/01/2013 16:00,114
13/01/2013 17:00,141
13/01/2013 18:00,105
13/01/2013 19:00,105
13/01/2013 20:00,109
13/01/2013 21:00,109
13/01/2013 22:00,113
13/01/2013 23:00,109
14/01/2013 00:00,109
14/01/2013 01:00,96
14/01/2013 02:00,90
14/01/2013 03:00,90
14/01/2013 04:00,90
14/01/2013 05:00,90
14/01/2013 06:00,81
14/01/2013 07:00,92
14/01/2013 08:00,90
14/01/2013 09:00,99
14/01/2013 10:00,120
14/01/2013 11:00,126
14/01/2013 12:00,171
14/01/2013 13:00,165
14/01/2013 14:00,165
14/01/2013 15:00,210
14/01/2013 16:00,176
14/01/2013 17:00,287
14/01/2013 18:00,319
14/01/2013 19:00,313
14/01/2013 20:00,308
14/01/2013 21:00,294
14/01/2013 22:00,313
14/01/2013 23:00,309
15/01/2013 00:00,336
15/01/2013 01:00,324
15/01/2013 02:00,324
15/01/2013 03:00,311
15/01/2013 04:00,296
15/01/2013 05:00,53
15/01/2013 06:00,73
15/01/2013 07:00,86
15/01/2013 08:00,113
15/01/2013 09:00,118
15/01/2013 10:00,146
15/01/2013 11:00,126
15/01/2013 12:00,113
15/01/2013 13:00,114
15/01/2013 14:00,122
15/01/2013 15:00,114
15/01/2013 16:00,114
15/01/2013 17:00,135
15/01/2013 18:00,174
15/01/2013 19:00,150
15/01/2013 20:00,129
15/01/2013 21:00,28
15/01/2013 22:00,0
15/01/2013 23:00,133
16/01/2013 00:00,309
16/01/2013 01:00,311
16/01/2013 02:00,304
16/01/2013 03:00,311
16/01/2013 04:00,321
16/01/2013 05:00,319
16/01/2013 06:00,296
16/01/2013 07:00,324
16/01/2013 08:00,311
16/01/2013 09:00,289
16/01/2013 10:00,304
16/01/2013 11:00,311
16/01/2013 12:00,317
16/01/2013 13:00,292
16/01/2013 14:00,315
16/01/2013 15:00,323
16/01/2013 16:00,313
16/01/2013 17:00,319
16/01/2013 18:00,311
16/01/2013 19:00,309
16/01/2013 20:00,313
16/01/2013 21:00,315
16/01/2013 22:00,315
16/01/2013 23:00,315
17/01/2013 00:00,306
17/01/2013 01:00,298
17/01/2013 02:00,300
17/01/2013 03:00,309
17/01/2013 04:00,315
17/01/2013 05:00,315
17/01/2013 06:00,315
17/01/2013 07:00,317
17/01/2013 08:00,315
17/01/2013 09:00,317
17/01/2013 10:00,259
17/01/2013 11:00,313
17/01/2013 12:00,311
17/01/2013 13:00,308
17/01/2013 14:00,321
17/01/2013 15:00,294
17/01/2013 16:00,304
17/01/2013 17:00,317
17/01/2013 18:00,300
17/01/2013 19:00,294
17/01/2013 20:00,300
17/01/2013 21:00,298
17/01/2013 22:00,266
17/01/2013 23:00,268
18/01/2013 00:00,221
18/01/2013 01:00,223
18/01/2013 02:00,218
18/01/2013 03:00,302
18/01/2013 04:00,304
18/01/2013 05:00,274
18/01/2013 06:00,277
18/01/2013 07:00,246
18/01/2013 08:00,276
18/01/2013 09:00,248
18/01/2013 10:00,321
18/01/2013 11:00,300
18/01/2013 12:00,276
18/01/2013 13:00,326
18/01/2013 14:00,326
18/01/2013 15:00,321
18/01/2013 16:00,315
18/01/2013 17:00,317
18/01/2013 18:00,317
18/01/2013 19:00,315
18/01/2013 20:00,315
18/01/2013 21:00,315
18/01/2013 22:00,313
18/01/2013 23:00,326
19/01/2013 00:00,324
19/01/2013 01:00,319
19/01/2013 02:00,317
19/01/2013 03:00,328
19/01/2013 04:00,270
19/01/2013 05:00,276
19/01/2013 06:00,294
19/01/2013 07:00,266
19/01/2013 08:00,84
19/01/2013 09:00,217
19/01/2013 10:00,326
19/01/2013 11:00,148
19/01/2013 12:00,38
19/01/2013 13:00,105
19/01/2013 14:00,51
19/01/2013 15:00,41
19/01/2013 16:00,51
19/01/2013 17:00,83
19/01/2013 18:00,94
19/01/2013 19:00,83
19/01/2013 20:00,88
19/01/2013 21:00,83
19/01/2013 22:00,83
19/01/2013 23:00,90
20/01/2013 00:00,90
20/01/2013 01:00,79
20/01/2013 02:00,68
20/01/2013 03:00,73
20/01/2013 04:00,83
20/01/2013 05:00,79
20/01/2013 06:00,77
20/01/2013 07:00,83
20/01/2013 08:00,75
20/01/2013 09:00,103
20/01/2013 10:00,114
20/01/2013 11:00,98
20/01/2013 12:00,75
20/01/2013 13:00,69
20/01/2013 14:00,43
20/01/2013 15:00,45
20/01/2013 16:00,51
20/01/2013 17:00,53
20/01/2013 18:00,68
20/01/2013 19:00,98
20/01/2013 20:00,111
20/01/2013 21:00,77
20/01/2013 22:00,73
20/01/2013 23:00,68
21/01/2013 00:00,32
21/01/2013 01:00,73
21/01/2013 02:00,206
21/01/2013 03:00,96
21/01/2013 04:00,69
21/01/2013 05:00,272
21/01/2013 06:00,272
21/01/2013 07:00,247
21/01/2013 08:00,294
21/01/2013 09:00,296
21/01/2013 10:00,302
21/01/2013 11:00,287
21/01/2013 12:00,302
21/01/2013 13:00,309
21/01/2013 14:00,304
21/01/2013 15:00,304
21/01/2013 16:00,304
21/01/2013 17:00,302
21/01/2013 18:00,306
21/01/2013 19:00,293
21/01/2013 20:00,296
21/01/2013 21:00,285
21/01/2013 22:00,296
21/01/2013 23:00,294
22/01/2013 00:00,304
22/01/2013 01:00,311
22/01/2013 02:00,315
22/01/2013 03:00,315
22/01/2013 04:00,315
22/01/2013 05:00,324
22/01/2013 06:00,298
22/01/2013 07:00,274
22/01/2013 08:00,274
22/01/2013 09:00,324
22/01/2013 10:00,291
22/01/2013 11:00,323
22/01/2013 12:00,317
22/01/2013 13:00,268
22/01/2013 14:00,277
22/01/2013 15:00,165
22/01/2013 16:00,219
22/01/2013 17:00,103
22/01/2013 18:00,73
22/01/2013 19:00,19
22/01/2013 20:00,19
22/01/2013 21:00,56
22/01/2013 22:00,17
22/01/2013 23:00,30
23/01/2013 00:00,19
23/01/2013 01:00,126
23/01/2013 02:00,53
23/01/2013 03:00,54
23/01/2013 04:00,81
23/01/2013 05:00,73
23/01/2013 06:00,90
23/01/2013 07:00,86
23/01/2013 08:00,86
23/01/2013 09:00,101
23/01/2013 10:00,133
23/01/2013 11:00,148
23/01/2013 12:00,188
23/01/2013 13:00,176
23/01/2013 14:00,118
23/01/2013 15:00,124
23/01/2013 16:00,116
23/01/2013 17:00,133
23/01/2013 18:00,142
23/01/2013 19:00,137
23/01/2013 20:00,139
23/01/2013 21:00,118
23/01/2013 22:00,84
23/01/2013 23:00,83
24/01/2013 00:00,92
24/01/2013 01:00,82
24/01/2013 02:00,90
24/01/2013 03:00,73
24/01/2013 04:00,64
24/01/2013 05:00,60
24/01/2013 06:00,68
24/01/2013 07:00,73
24/01/2013 08:00,83
24/01/2013 09:00,105
24/01/2013 10:00,56
24/01/2013 11:00,36
24/01/2013 12:00,54
24/01/2013 13:00,69
24/01/2013 14:00,114
24/01/2013 15:00,276
24/01/2013 16:00,326
24/01/2013 17:00,326
24/01/2013 18:00,323
24/01/2013 19:00,315
24/01/2013 20:00,300
24/01/2013 21:00,169
24/01/2013 22:00,139
24/01/2013 23:00,193
25/01/2013 00:00,144
25/01/2013 01:00,38
25/01/2013 02:00,11
25/01/2013 03:00,13
25/01/2013 04:00,169
25/01/2013 05:00,169
25/01/2013 06:00,111
25/01/2013 07:00,195
25/01/2013 08:00,219
25/01/2013 09:00,225
25/01/2013 10:00,300
25/01/2013 11:00,300
25/01/2013 12:00,242
25/01/2013 13:00,247
25/01/2013 14:00,296
25/01/2013 15:00,323
25/01/2013 16:00,315
25/01/2013 17:00,319
25/01/2013 18:00,300
25/01/2013 19:00,142
25/01/2013 20:00,296
25/01/2013 21:00,319
25/01/2013 22:00,221
25/01/2013 23:00,272
26/01/2013 00:00,319
26/01/2013 01:00,315
26/01/2013 02:00,315
26/01/2013 03:00,317
26/01/2013 04:00,323
26/01/2013 05:00,270
26/01/2013 06:00,189
26/01/2013 07:00,315
26/01/2013 08:00,296
26/01/2013 09:00,79
26/01/2013 10:00,43
26/01/2013 11:00,105
26/01/2013 12:00,137
26/01/2013 13:00,92
26/01/2013 14:00,81
26/01/2013 15:00,150
26/01/2013 16:00,17
26/01/2013 17:00,191
26/01/2013 18:00,317
26/01/2013 19:00,334
26/01/2013 20:00,261
26/01/2013 21:00,238
26/01/2013 22:00,169
26/01/2013 23:00,68
27/01/2013 00:00,219
27/01/2013 01:00,263
27/01/2013 02:00,233
27/01/2013 03:00,231
27/01/2013 04:00,201
27/01/2013 05:00,184
27/01/2013 06:00,212
27/01/2013 07:00,165
27/01/2013 08:00,197
27/01/2013 09:00,191
27/01/2013 10:00,193
27/01/2013 11:00,178
27/01/2013 12:00,159
27/01/2013 13:00,174
27/01/2013 14:00,109
27/01/2013 15:00,137
27/01/2013 16:00,141
27/01/2013 17:00,120
27/01/2013 18:00,142
27/01/2013 19:00,139
27/01/2013 20:00,152
27/01/2013 21:00,150
27/01/2013 22:00,139
27/01/2013 23:00,101
28/01/2013 00:00,141
28/01/2013 01:00,158
28/01/2013 02:00,218
28/01/2013 03:00,143
28/01/2013 04:00,161
28/01/2013 05:00,174
28/01/2013 06:00,201
28/01/2013 07:00,206
28/01/2013 08:00,204
28/01/2013 09:00,218
28/01/2013 10:00,208
28/01/2013 11:00,116
28/01/2013 12:00,113
28/01/2013 13:00,122
28/01/2013 14:00,96
28/01/2013 15:00,306
28/01/2013 16:00,294
